is_camera,model,brand,title,price,trade_type,status,region,date,user,link
True,D1,Nikon,Profoto D1 500w,20000,buy,,台北市,2021-02-19,imkey,http://market.dcview.com/post/217750
True,D100,Nikon,Nikon D100 單眼相機 蒙皮漂亮 保養良好 運作正常,1300,sell,sold,新竹市,2019-09-18,趙明志,http://market.dcview.com/post/139740
True,D100,Nikon,Nikon D100 單眼相機 機身漂亮 蒙皮漂亮 保養良好 運作正常,1600,sell,sold,新竹市,2019-09-18,趙明志,http://market.dcview.com/post/139739
True,D100,Nikon,Nikon D100 單眼相機 蒙皮漂亮 保養良好 運作正常,1300,sell,sold,新竹市,2019-09-24,趙明志,http://market.dcview.com/post/140702
True,D100,Nikon,Nikon D100 單眼相機 機身漂亮 蒙皮漂亮 保養良好 運作正常,1600,sell,sold,新竹市,2019-09-24,趙明志,http://market.dcview.com/post/140701
True,D100,Nikon,Nikon D100 單眼相機 蒙皮漂亮 保養良好 運作正常,1300,sell,sold,新竹市,2019-09-27,趙明志,http://market.dcview.com/post/141168
True,D100,Nikon,Nikon D100 單眼相機 機身漂亮 蒙皮漂亮 保養良好 運作正常,1600,sell,sold,新竹市,2019-09-27,趙明志,http://market.dcview.com/post/141167
True,D100,Nikon,Nikon D100 單眼相機 蒙皮漂亮 保養良好 運作正常,1300,sell,sold,新竹市,2019-09-30,趙明志,http://market.dcview.com/post/141665
True,D100,Nikon,Nikon D100 單眼相機 機身漂亮 蒙皮漂亮 保養良好 運作正常,1600,sell,sold,新竹市,2019-09-30,趙明志,http://market.dcview.com/post/141664
True,D100,Nikon,Nikon D100 經典款單眼相機,1300,sell,sold,新竹市,2019-10-05,趙明志,http://market.dcview.com/post/142432
True,D100,Nikon,Nikon D100 經典款單眼相機,1600,sell,sold,新竹市,2019-10-05,趙明志,http://market.dcview.com/post/142431
True,D100,Nikon,Nikon D100 經典款單眼相機,1300,sell,sold,新竹市,2019-10-12,趙明志,http://market.dcview.com/post/143597
True,D100,Nikon,Nikon D100 經典款單眼相機,1600,sell,sold,新竹市,2019-10-12,趙明志,http://market.dcview.com/post/143596
True,D100,Nikon,Nikon D100 經典款單眼相機,1300,sell,sold,新竹市,2019-10-21,趙明志,http://market.dcview.com/post/145076
True,D100,Nikon,Nikon D100 經典款單眼相機,1600,sell,sold,新竹市,2019-10-21,趙明志,http://market.dcview.com/post/145075
True,D100,Nikon,Nikon D100 經典款單眼相機,1300,sell,sold,新竹市,2019-10-23,趙明志,http://market.dcview.com/post/145451
