model_norm,week,weekly_avg_price,count,price_despiked,ma_price
Z5,2020-08-25,45200.0,1,45200.0,45200.0
Z5,2020-11-03,39500.0,2,39500.0,44440.0
Z5,2020-11-10,38000.0,1,38000.0,43581.333333333336
Z5,2021-02-09,30000.0,2,30000.0,41770.48888888889
Z5,2021-03-02,39000.0,2,39000.0,41401.09037037037
Z5,2021-03-09,30000.0,1,30000.0,39880.94498765432
Z5,2021-04-06,35000.0,1,35000.0,39230.152322633745
Z5,2021-06-15,35000.0,1,35000.0,38666.132012949245
Z5,2021-07-27,35000.0,1,35000.0,38177.31441122268
Z5,2021-08-03,30000.0,1,30000.0,37087.005823059655
Z5,2021-09-07,24000.0,1,24000.0,35342.071713318364
Z5,2021-09-21,32000.0,1,32000.0,34896.46215154258
Z5,2021-09-28,22000.0,1,22000.0,33176.93386467024
Z5,2021-10-12,32000.0,1,32000.0,33020.009349380874
Z5,2021-10-19,22000.0,1,22000.0,31550.674769463425
Z5,2021-11-02,28000.0,2,28000.0,31077.2514668683
Z5,2021-11-16,25333.333333333332,3,25333.333333333332,30311.395715730305
Z5,2021-11-23,22375.0,4,22375.0,29253.209620299596
Z5,2021-12-07,33000.0,1,33000.0,29752.781670926317
Z5,2021-12-21,25000.0,1,25000.0,29119.07744813614
Z5,2022-01-04,22000.0,1,22000.0,28169.867121717987
Z5,2022-01-11,23000.0,1,23000.0,27480.551505488926
Z5,2022-02-01,26750.0,2,26750.0,27383.144638090405
Z5,2022-03-01,26000.0,1,26000.0,27198.725353011687
Z5,2022-03-15,23000.0,2,23000.0,26638.895305943464
Z5,2022-03-22,25000.0,1,25000.0,26420.375931817667
Z5,2022-04-05,26500.0,2,26500.0,26430.99247424198
Z5,2022-04-12,25500.0,1,25500.0,26306.86014434305
Z5,2022-04-19,27000.0,1,27000.0,26399.278791763976
Z5,2022-05-03,24000.0,1,24000.0,26079.374952862112
Z5,2022-05-17,23000.0,1,23000.0,25668.791625813832
Z5,2022-07-12,20000.0,1,20000.0,24912.95274237199
Z5,2022-07-26,21666.666666666668,3,21666.666666666668,24480.114598944616
Z5,2022-08-02,22500.0,2,22500.0,24216.099319085333
Z5,2022-08-16,26000.0,2,26000.0,24453.95274320729
Z5,2022-08-23,26000.0,1,26000.0,24660.09237744632
Z5,2022-08-30,25000.0,1,25000.0,24705.41339378681
Z5,2022-09-13,26500.0,1,26500.0,24944.691607948567
Z5,2022-09-20,20000.0,1,20000.0,24285.399393555428
Z5,2022-10-04,23500.0,1,23500.0,24180.679474414705
Z5,2022-10-11,26500.0,1,26500.0,24489.92221115941
Z5,2022-10-25,25000.0,1,25000.0,24557.932583004822
Z5,2022-11-08,32500.0,2,25000.0,24616.874905270844
Z5,2022-11-15,25000.0,1,25000.0,24667.95825123473
Z5,2022-12-06,26000.0,3,26000.0,24845.56381773677
Z5,2022-12-13,22000.0,1,22000.0,24466.155308705198
Z5,2022-12-20,25000.0,3,25000.0,24537.33460087784
Z5,2022-12-27,25500.0,2,25500.0,24665.68998742746
Z5,2023-01-24,25000.0,1,25000.0,24710.264655770465
Z5,2023-01-31,25000.0,1,25000.0,24748.896035001068
Z5,2023-02-07,22750.0,4,22750.0,24482.376563667593
Z5,2023-02-14,22000.0,2,22000.0,24151.393021845248
Z5,2023-02-21,22000.0,1,22000.0,23864.540618932548
Z5,2023-02-28,30400.0,2,25000.0,24015.935203074874
Z5,2023-03-07,25833.333333333332,3,25833.333333333332,24258.254953776002
Z5,2023-03-21,22222.0,1,22222.0,23986.754293272537
Z5,2023-03-28,25000.0,1,25000.0,24121.8537208362
Z5,2023-04-04,25500.0,2,25500.0,24305.60655805804
Z5,2023-04-11,26000.0,1,26000.0,24531.525683650303
Z5,2023-04-18,25333.333333333332,3,25333.333333333332,24638.433370274706
Z5,2023-04-25,25000.0,1,25000.0,24686.64225423808
Z5,2023-05-02,26750.0,4,26750.0,24961.75662033967
Z5,2023-05-09,27166.666666666668,3,27166.666666666668,25255.744626516604
Z5,2023-05-16,26000.0,2,26000.0,25354.978676314393
Z5,2023-05-23,26428.571428571428,7,26428.571428571428,25498.12437661533
Z5,2023-05-30,26500.0,1,26500.0,25631.70779306662
Z5,2023-06-06,20000.0,1,26000.0,25680.813420657738
Z5,2023-06-13,27333.333333333332,3,27333.333333333332,25901.149409014484
Z5,2023-06-20,24000.0,3,24000.0,25647.66282114589
Z5,2023-06-27,22666.333333333332,6,22666.333333333332,25250.15222277088
Z5,2023-07-04,26000.0,2,26000.0,25350.13192640143
Z5,2023-07-11,26500.0,1,26500.0,25503.447669547906
Z5,2023-07-18,23000.0,3,23000.0,25169.65464694152
Z5,2023-07-25,23000.0,2,23000.0,24880.367360682652
Z5,2023-08-15,23000.0,1,23000.0,24629.651712591633
Z5,2023-08-22,22000.0,1,22000.0,24279.03148424608
Z5,2023-08-29,21000.0,2,21000.0,23841.827286346605
Z5,2023-09-12,25000.0,2,25000.0,23996.250314833724
Z5,2023-09-19,24375.0,12,24375.0,24046.750272855894
Z5,2023-09-26,22000.0,2,22000.0,23773.850236475108
Z5,2023-10-03,22000.0,1,22000.0,23537.33687161176
Z5,2023-10-10,24250.0,2,24250.0,23632.358622063522
Z5,2023-10-17,26000.0,3,26000.0,23948.04413912172
Z5,2023-10-24,26000.0,2,26000.0,24221.638253905494
Z5,2023-10-31,25666.666666666668,3,25666.666666666668,24414.30870894032
Z5,2023-11-07,27000.0,1,23714.285714285714,24320.97230965304
Z5,2023-11-14,23666.666666666668,3,23666.666666666668,24233.731557254858
Z5,2023-11-21,25333.333333333332,3,25333.333333333332,24380.345127398654
Z5,2023-12-05,23000.0,2,23000.0,24196.29911041217
Z5,2023-12-12,23000.0,3,23000.0,24036.792562357216
Z5,2023-12-19,23714.285714285714,7,23714.285714285714,23993.791649281018
Z5,2023-12-26,23666.666666666668,3,23666.666666666668,23950.174984932437
Z5,2024-01-02,23000.0,2,23000.0,23823.484986941447
Z5,2024-01-23,26800.0,1,23500.0,23780.353655349252
Z5,2024-01-30,23000.0,2,23000.0,23676.306501302686
Z5,2024-02-06,23500.0,1,23500.0,23652.79896779566
Z5,2024-02-20,21000.0,1,21000.0,23299.09243875624
Z5,2024-02-27,25000.0,3,25000.0,23525.88011358874
Z5,2024-03-05,28000.0,1,23000.0,23455.762765110245
Z5,2024-03-12,23000.0,1,23000.0,23394.99439642888
Z5,2024-04-23,21000.0,1,21000.0,23075.66181023836
Z5,2024-05-07,22000.0,3,22000.0,22932.240235539914
Z5,2024-05-14,21500.0,2,21500.0,22741.27487080126
Z5,2024-05-21,21000.0,3,21000.0,22509.10488802776
Z5,2024-05-28,22000.0,6,22000.0,22441.224236290724
Z5,2024-06-11,22000.0,4,22000.0,22382.394338118625
Z5,2024-06-25,22500.0,2,22500.0,22398.075093036143
Z5,2024-07-02,20000.0,1,20000.0,22078.33174729799
Z5,2024-07-09,41000.0,1,22000.0,22067.887514324924
Z5,2024-07-30,20000.0,1,20000.0,21792.169179081604
Z5,2024-08-13,25000.0,1,22000.0,21819.879955204055
Z5,2024-09-17,22250.0,2,22250.0,21877.229294510184
Z5,2024-09-24,21500.0,2,21500.0,21826.93205524216
Z5,2024-10-01,22000.0,1,22000.0,21850.00778120987
Z5,2024-10-08,24600.0,2,24600.0,22216.67341038189
Z5,2024-10-22,22000.0,1,22000.0,22187.78362233097
Z5,2024-11-05,26000.0,1,22000.0,22162.745806020175
Z5,2024-11-12,26000.0,1,22000.0,22141.046365217484
Z5,2024-11-19,25500.0,2,22000.0,22122.240183188485
Z5,2024-11-26,26000.0,1,22000.0,22105.94149209669
Z5,2024-12-17,21500.0,2,21500.0,22025.149293150465
Z5,2024-12-24,19875.0,4,19875.0,21738.462720730404
Z5,2024-12-31,22000.0,2,22000.0,21773.33435796635
Z5,2025-01-07,22000.0,3,22000.0,21803.556443570837
Z5,2025-01-14,19500.0,1,19500.0,21496.415584428058
Z5,2025-01-21,18500.0,1,18500.0,21096.89350650432
Z5,2025-01-28,19250.0,2,19250.0,20850.64103897041
Z5,2025-02-11,23000.0,1,23000.0,21137.22223377436
Z5,2025-02-18,20000.0,1,20000.0,20985.592602604447
Z5,2025-02-25,20000.0,1,20000.0,20854.180255590523
Z5,2025-03-11,21800.0,1,21800.0,20980.289554845123
Z5,2025-03-25,20250.0,2,20250.0,20882.91761419911
Z5,2025-04-08,22000.0,1,22000.0,21031.861932305892
Z5,2025-04-22,22000.0,1,22000.0,21160.94700799844
Z5,2025-04-29,21000.0,1,21000.0,21139.48740693198
Z5,2025-05-13,21000.0,2,21000.0,21120.88908600772
Z5,2025-05-20,20000.0,1,20000.0,20971.437207873358
Z5,2025-06-03,21500.0,1,21500.0,21041.91224682358
Z5,2025-06-10,34500.0,4,21000.0,21036.323947247103
Z5,2025-07-01,28666.666666666668,3,28666.666666666668,22053.702976503046
Z5,2025-07-22,18000.0,1,18000.0,21513.209246302642
Z5,2025-07-29,47333.333333333336,3,20000.0,21311.44801346229
Z5,2025-08-05,33000.0,2,20000.0,21136.588278333988
