,camera_model,generation,price,region,date,title,link
0,Z6,2,26500,桃園市,2026-01-03,Nikon Z6ii Z6 2代 單機身 2電池,http://market.dcview.com/post/508398
1,Z5,1,19800,新北市,2025-12-31,Nikon Z5 單機身 平輸,http://market.dcview.com/post/508187
3,ZF,1,39800,台北市,2025-12-30,售 Nikon ZF 黑色機身 公司貨(已過保),http://market.dcview.com/post/508068
5,ZF,1,47000,新北市,2025-12-20,Nikon Zf（銀色單機身）公司保固內,http://market.dcview.com/post/506984
6,Z6,3,50000,桃園市,2025-12-19,【售】Nikon Z6III 機身（全機包膜）,http://market.dcview.com/post/506893
7,Z8,1,80000,高雄市,2025-12-18,二手 Nikon Z8 單機身 公司貨 保固內 尼康 body 保固到2027年11月18日,http://market.dcview.com/post/506759
8,ZF,1,46500,台北市,2025-12-17,Nikon ZF 銀色 單機身 公司貨 保固至2027/11,http://market.dcview.com/post/506638
9,ZF,1,47000,新北市,2025-12-17,Nikon Zf（銀色單機身）公司保固內。,http://market.dcview.com/post/506634
10,ZF,1,49990,台北市,2025-12-16,Nikon ZF 銀色 公司貨 買不到一個月,http://market.dcview.com/post/506528
11,ZF,1,38000,高雄市,2025-12-15,ZF,http://market.dcview.com/post/506420
12,Z5,2,44000,台南市,2025-12-14,Nikon Z5ii 台灣公司貨 保固至2027/7 快門3000內,http://market.dcview.com/post/506383
14,Z5,1,18000,彰化縣,2025-12-13,Nikon Z5 數位無反全片幅相機,http://market.dcview.com/post/506210
15,ZF,1,39000,高雄市,2025-12-13,ZF,http://market.dcview.com/post/506206
16,Z6,2,35000,台南市,2025-12-07,Nikon Z62 Z6II 低快門 公司貨保固中,http://market.dcview.com/post/505575
17,ZF,1,38000,高雄市,2025-12-04,NIKON ZF 機身,http://market.dcview.com/post/505289
18,ZFC,1,20500,新北市,2025-12-01,Nikon ZFC 銀色 單機身 公司貨,http://market.dcview.com/post/504977
19,Z8,1,78000,新竹市,2025-11-29,Z8 公司貨 快門1萬1,http://market.dcview.com/post/504796
20,Z9,1,93000,新竹市,2025-11-29,NIKON Z9 公司貨快門三萬多,http://market.dcview.com/post/504795
21,ZF,1,43000,高雄市,2025-11-27,NIKON Zf 機身 黑,http://market.dcview.com/post/504621
23,Z9,1,93000,新竹市,2025-11-24,Z9 公司貨快門三萬多,http://market.dcview.com/post/504243
24,Z8,1,78000,新竹市,2025-11-24,Z8 公司貨 快門1萬1,http://market.dcview.com/post/504240
25,Z5,1,21000,花蓮縣,2025-11-21,NIKON Z5 單機身,http://market.dcview.com/post/503978
26,Z6,3,58000,台北市,2025-11-20,Nikon Z6III Z63 無反光鏡相機 公司貨 全新未拆 保固中,http://market.dcview.com/post/503847
27,Z8,1,78000,新竹市,2025-11-20,Z8 公司貨 快門1萬1,http://market.dcview.com/post/503830
28,Z6,1,20000,桃園市,2025-11-20,Nikon Z6 極新 有包膜,http://market.dcview.com/post/503790
29,ZF,1,40000,高雄市,2025-11-18,NIKON ZF,http://market.dcview.com/post/503621
30,Z9,1,93000,新竹市,2025-11-18,NIKON Z9 公司貨快門三萬多,http://market.dcview.com/post/503578
31,Z6,2,28000,台中市,2025-11-16,[台中市] Nikon Z6II Z62 無反光鏡相機 單機身 快門數8074,http://market.dcview.com/post/503455
32,ZF,1,50000,台中市,2025-11-15,nikon zf 銀,http://market.dcview.com/post/503345
33,ZFC,1,19500,新北市,2025-11-12,Nikon ZFC 銀色 單機身 平輸 快門16xx,http://market.dcview.com/post/503043
34,Z6,2,27000,桃園市,2025-11-12,Nikon Z6ii 單機身 Z6 2代 (公司貨) 高快門,http://market.dcview.com/post/503011
35,Z6,2,30000,台北市,2025-11-10,Nikon Z6 II 單機身 公司貨,http://market.dcview.com/post/502831
36,Z6,3,52500,新北市,2025-11-10,售Nikon z6iii z63,http://market.dcview.com/post/502800
37,Z8,1,80000,桃園市,2025-11-09,Nikon Z8 單機身 公司貨保固內 限面交,http://market.dcview.com/post/502741
38,Z9,1,95000,新竹縣,2025-11-09,NIKON Z9 公司貨快門三萬多,http://market.dcview.com/post/502696
39,Z6,1,19000,桃園市,2025-11-09,NIKON Z6 全幅相機 單機身,http://market.dcview.com/post/502686
40,Z8,1,83500,桃園市,2025-11-08,Nikon Z8 單機身 公司貨 保固內 貴重物限面交,http://market.dcview.com/post/502590
41,Z5,1,21000,新北市,2025-11-06,NIKON Z5,http://market.dcview.com/post/502438
42,Z6,1,21000,台北市,2025-11-06,售 Nikon Z6,http://market.dcview.com/post/502434
43,ZF,1,38000,新北市,2025-11-06,nikon ZF 藍皮,http://market.dcview.com/post/502383
44,Z6,1,22000,台北市,2025-11-05,Nikon Z6 (價格可談),http://market.dcview.com/post/502249
45,Z6,1,25000,台北市,2025-11-03,售 Nikon Z6,http://market.dcview.com/post/502087
46,Z6,2,30000,台中市,2025-11-02,[台中市] Nikon Z6II Z62 無反光鏡相機 單機身 快門數8074,http://market.dcview.com/post/502001
47,Z9,1,95000,新竹市,2025-11-02,Z9 公司貨快門三萬多,http://market.dcview.com/post/501894
48,Z6,3,60000,台北市,2025-10-31,Nikon Z6III Z63 無反光鏡相機 公司貨 全新未拆 保固中,http://market.dcview.com/post/501755
49,Z6,3,60000,新北市,2025-10-30,公司貨 Nikon Z6 III 單機身 極新,http://market.dcview.com/post/501592
50,Z50,2,22000,新竹市,2025-10-29,Z50II 單機身 附2顆原廠電池,http://market.dcview.com/post/501461
51,ZF,1,40000,新北市,2025-10-28,NIKON zf 公司貨 單機身 保固中 黑色/銀色,http://market.dcview.com/post/501410
52,Z5,1,18000,台中市,2025-10-27,Nikon Z5 機身,http://market.dcview.com/post/501335
53,Z5,1,19000,新竹市,2025-10-25,Nikon Z5,http://market.dcview.com/post/501139
54,Z8,1,99999,台中市,2025-10-24,Nikon z8,http://market.dcview.com/post/501016
55,Z50,2,25000,新竹市,2025-10-23,Z50II 單機身,http://market.dcview.com/post/500959
56,Z6,2,32000,台北市,2025-10-23,Nikon Z6 II 單機身 公司貨,http://market.dcview.com/post/500912
57,Z6,3,53000,台南市,2025-10-22,Nikon Z6 III Body〔單機身〕公司貨/Nikon Z6III,http://market.dcview.com/post/500872
58,Z8,1,79500,台北市,2025-10-22,Nikon Z8 公司貨 保固內,http://market.dcview.com/post/500818
