camera_model,generation,price,region,date,title,link
Z6,1,64000,新北市,2025-08-28,Z6 lll 單機身 公司貨 雙原電 保固2年,http://market.dcview.com/post/494745
ZF,1,85000,高雄市,2025-05-30,Nikon zf/z28-400/z50f1.8,http://market.dcview.com/post/484127
Z7,1,99999,高雄市,2025-04-25,NIKON z7,http://market.dcview.com/post/479333
Z50,1,40000,高雄市,2025-04-08,Z50 1.2S,http://market.dcview.com/post/477026
Z50,1,41000,高雄市,2025-04-07,Z50 1.2,http://market.dcview.com/post/476700
Z7,2,99000,台南市,2024-11-05,全新品 國祥公司貨 NIKON Z8 單機身 無反 台南可面交 保固兩年 Z7 Z7II Z9,http://market.dcview.com/post/450875
Z50,1,43000,台北市,2024-10-19,Z50 1.2,http://market.dcview.com/post/444396
Z50,1,43000,台中市,2024-10-18,Z50 1.2,http://market.dcview.com/post/443906
Z50,1,45000,高雄市,2024-10-15,Z50 1.2,http://market.dcview.com/post/442063
Z7,2,99500,台南市,2024-10-04,全新品 國祥公司貨 NIKON Z8 單機身 無反 台南可面交 保固兩年 Z7 Z7II Z9,http://market.dcview.com/post/439136
Z7,2,100000,台南市,2024-09-27,全新品 國祥公司貨 NIKON Z8 單機身 無反 台南可面交 保固兩年 Z7 Z7II Z9,http://market.dcview.com/post/437967
Z7,2,100000,台南市,2024-09-23,全新品 國祥公司貨 NIKON Z8 單機身 無反 台南可面交 保固兩年 Z7 Z7II Z9,http://market.dcview.com/post/437285
Z6,3,90000,新北市,2024-09-10,Nikon Z8 or Z6iii 國祥公司貨,http://market.dcview.com/post/435108
Z7,2,108000,台南市,2024-08-14,全新品 國祥公司貨 NIKON Z8 單機身 無反 台南可面交 保固兩年 Z7 Z7II Z9,http://market.dcview.com/post/430280
Z5,1,41000,新北市,2024-07-13,Nikon Z5 機身 & nikon z 28-75mm f2.8 平行輸入 快門數3496,http://market.dcview.com/post/424581
Z5,1,45000,新北市,2024-06-25,Nikon Z5 機身 & nikon z 28-75mm f2.8 平行輸入 快門數3496,http://market.dcview.com/post/421418
Z7,2,105000,台南市,2024-04-30,全新品 國祥公司貨 NIKON Z8 單機身 無反 台南可面交 保固兩年 Z7 Z7II Z9,http://market.dcview.com/post/411162
Z50,1,40000,桃園市,2024-03-16,NIKON Z6 II Z62 二代 國祥公司貨 (Z7 Z8 Z9 ZF Z30 Z50 可參考),http://market.dcview.com/post/402270
Z6,2,85000,新北市,2024-03-04,NIKON Z6 II 2470 35 85 t1116,http://market.dcview.com/post/399973
Z7,1,115000,宜蘭縣,2024-02-03,NIKON Z7 / 14-30 / 24-200 / 85.8 / 35.8 / 28-75,http://market.dcview.com/post/394669
ZF,1,99999,高雄市,2024-01-10,NIKON ZF 單機身 公司貨 全新未拆 綁實用配件,http://market.dcview.com/post/390196
Z30,1,35000,台北市,2023-12-27,Nikon z30 整套,http://market.dcview.com/post/387512
Z8,1,1080000,高雄市,2023-12-19,Nikon Z8,http://market.dcview.com/post/385980
Z6,1,66000,新北市,2023-11-29,NIKON Z6 一代 加 Z 24-70 2.8,http://market.dcview.com/post/381866
Z5,1,38000,新竹市,2023-10-28,Nikon Z5 公司貨,http://market.dcview.com/post/374977
Z9,1,303000,台南市,2023-09-13,Nikon Z 系統出清 Z9、24-70、70-200、50 公司貨保固內,http://market.dcview.com/post/366203
Z9,1,999999,台南市,2023-09-08,換系統出清 Z9、24-70、70-200、50,http://market.dcview.com/post/365280
Z5,1,43000,新竹市,2023-02-05,Nikon Z5 公司貨,http://market.dcview.com/post/323760
Z6,2,999999,台中市,2023-01-02,Nikon Z6 Nikon Z6II,http://market.dcview.com/post/317895
Z6,2,99999999,台中市,2023-01-01,Nikon Z7 Nikon Z6 Nikon Z6II,http://market.dcview.com/post/317754
Z6,2,99999999,台中市,2022-12-28,NIKON Nikon Z7 /Nikon Z6/Nikon Z6II 大拋售,http://market.dcview.com/post/317226
Z6,2,12345,台北市,2022-12-01,Nikon Z6ii Z6,http://market.dcview.com/post/312903
Z6,2,888888,基隆市,2022-11-24,Nikon z6ii,http://market.dcview.com/post/311689
Z5,1,35000,高雄市,2022-11-10,Nikon z5,http://market.dcview.com/post/309135
Z6,2,99999,高雄市,2022-07-09,z6ii,http://market.dcview.com/post/290478
ZF,1,14000,新竹市,2022-06-19,Carl Zeiss Planar 85/1.4 ZF.2,http://market.dcview.com/post/287227
Z9,1,300000,高雄市,2022-03-17,Z9 20 35 50 85,http://market.dcview.com/post/272859
Z7,1,75000,台北市,2022-03-12,nikon z7 2 公司貨2月購入 售75000,http://market.dcview.com/post/272069
Z7,1,87000,台北市,2022-03-08,nikon z7 2,http://market.dcview.com/post/271389
Z6,2,11000,新北市,2022-01-03,【售】Nikon MB-N11手把(公司貨保固到2022/2/22) Z6II Z7II,http://market.dcview.com/post/261710
Z6,2,11000,新北市,2021-12-28,【售】Nikon MB-N11手把(公司貨保固到2022/2/22) Z6II Z7II,http://market.dcview.com/post/260905
Z50,1,44000,新北市,2021-10-21,【售】NIKON器材出清 z62 z6ii z24-70 2.8 z20 1.8 z50 1.2 z85 1.8 Mb-n11垂直把手,http://market.dcview.com/post/250847
ZF,1,12000,新竹市,2021-08-22,Carl Zeiss Planar T* 1.4/50 ZF.2,http://market.dcview.com/post/242617
Z5,1,40000,桃園市,2021-08-10,Nikon Z5 Z24-70F4 公司貨保內,http://market.dcview.com/post/240860
Z5,1,35000,高雄市,2021-07-28,售 NIKON Z5 單機身 公司貨,http://market.dcview.com/post/239093
Z6,1,59999,高雄市,2021-07-19,Z6/z24200,http://market.dcview.com/post/238013
Z6,1,93000,高雄市,2021-06-26,售 Nikon D5 公司貨(D780.D850.Z6.Z7.R5.R6可參考),http://market.dcview.com/post/235284
Z6,1,93000,高雄市,2021-06-22,售 Nikon D5 公司貨(D780.D850.Z6.Z7.R5.R6可參考),http://market.dcview.com/post/234898
Z6,1,96000,高雄市,2021-06-19,售 Nikon D5 公司貨(D780.D850.Z6.Z7.R5.R6可參考),http://market.dcview.com/post/234525
Z5,1,35000,高雄市,2021-06-17,Z5 公司貨,http://market.dcview.com/post/234399
ZF,1,14000,台北市,2021-03-31,蔡司 Zeiss Planar T* 1.4/50 ZF.2 For Nikon 水貨,http://market.dcview.com/post/224906
Z5,1,35000,新北市,2021-03-07,Nikon Z5 單機身 公司貨 保內 快門數低 機身無損近全新,http://market.dcview.com/post/220445
Z5,1,43000,新北市,2021-03-06,Nikon Z5 單機身 公司貨 保內 快門數低 機身無損近全新,http://market.dcview.com/post/220284
Z6,1,53000,高雄市,2021-02-26,Nikon D4s 單機身(D5.D780.D850.Z6.Z7.R5.R6可參考),http://market.dcview.com/post/219007
Z6,1,53000,高雄市,2021-02-26,Nikon D4s 單機身(D5.D780.D850.Z6.Z7.R5.R6可參考),http://market.dcview.com/post/218914
Z5,1,38000,桃園市,2020-11-13,Nikon Z5 機身,http://market.dcview.com/post/203812
Z5,1,41000,桃園市,2020-11-07,NIKON Z5 機身,http://market.dcview.com/post/202971
ZF,1,17500,新竹縣,2020-10-30,Zeiss 18/3.5 ZF.2 for Nikon,http://market.dcview.com/post/201708
Z7,1,65000,新北市,2020-10-17,NIKON Z7,http://market.dcview.com/post/199781
ZF,1,18000,新竹縣,2020-09-22,Zeiss 18/3.5 ZF.2 for Nikon,http://market.dcview.com/post/196240
Z7,1,68000,台中市,2020-08-20,Nikon Z7（公司貨）單機身,http://market.dcview.com/post/191729
ZF,1,18000,新北市,2020-06-28,蔡司 Makro-Planar T* 2/50 ZF.2 For Nikon,http://market.dcview.com/post/184157
Z6,1,99999,南投縣,2020-05-23,Z6 換 A7M3,http://market.dcview.com/post/179614
Z6,1,65500,台南市,2020-05-13,【出清】九九成新 NIKON D850 單機身 4575萬畫素 ( D750 D4 D800 D800E D610 D4S Z7 Z6 D810 D4S 參考),http://market.dcview.com/post/178143
Z7,1,66000,台南市,2020-03-02,【售】Nikon Z7 單機身 國祥公司貨 近全新 品項如新,http://market.dcview.com/post/166788
Z7,1,68000,台中市,2020-02-18,Nikon Z7 9.99成新剛買,http://market.dcview.com/post/164755
Z6,1,90000,桃園市,2020-02-10,NIKON Z6/35/85 公司貨出清,http://market.dcview.com/post/163281
ZF,1,18500,台北市,2020-02-01,Zeiss Planar T* 1.4/85 ZF.2 For Nikon,http://market.dcview.com/post/161899
Z6,1,55000,高雄市,2020-01-09,Z6,http://market.dcview.com/post/158516
Z6,1,73000,台南市,2020-01-08,【售】Nikon Z7 單機身 國祥公司貨 上個月購買 (欲買新品者可考慮) 品項如新 Z6,http://market.dcview.com/post/158490
Z6,1,55000,高雄市,2020-01-08,Z6,http://market.dcview.com/post/158466
Z6,1,73500,台南市,2020-01-02,【售】Nikon Z7 單機身 國祥公司貨 購買兩個星期 (欲買新品者可考慮) 品項如新 Z6,http://market.dcview.com/post/157292
Z6,1,999999,台北市,2019-12-29,Nikon -Z6 - Z7 換系統拋售中,http://market.dcview.com/post/156739
ZF,1,11000,新竹縣,2019-11-27,Carl Zeiss Planar T* 1.4/50 ZF.2 (for Nikon),http://market.dcview.com/post/151257
Z6,1,54000,台北市,2019-11-13,【售】Nikon Z6 單機身公司貨 近全新,http://market.dcview.com/post/148922
Z6,1,71000,高雄市,2019-11-09,Nikon Z6,http://market.dcview.com/post/148332
Z6,1,53000,新竹市,2019-10-24,NIKON Z6 公司貨,http://market.dcview.com/post/145659
Z6,1,54000,台北市,2019-10-23,【售】Nikon Z6 單機身公司貨,http://market.dcview.com/post/145406
Z6,1,70000,新北市,2019-09-09,D850、D4S、Z6,http://market.dcview.com/post/138256
Z7,1,90000,台中市,2019-08-02,Nikon Z7 單機身 保內,http://market.dcview.com/post/132176
ZF,1,18000,台北市,2019-07-12,售Zeiss 蔡司 Makro-Planar T* 2/50 ZF.2 For Nikon,http://market.dcview.com/post/129118
ZF,1,15000,高雄市,2019-06-24,高雄售 Carl Zeiss Distagon 2/28 ZF.2,http://market.dcview.com/post/126372
Z7,1,93000,高雄市,2019-06-19,Nikon Z7 單機身/含FTZ 接環/公貨保內/3顆電池,http://market.dcview.com/post/125764
Z7,1,95000,高雄市,2019-06-16,Nikon Z7 單機身/公貨保內/3顆電池,http://market.dcview.com/post/125271
Z7,1,110000,台中市,2019-06-13,Nikon Z7 單機身 Z 24-70mm f/4 S,http://market.dcview.com/post/124896
Z6,1,55000,新竹縣,2019-04-04,售nikon Z6 單機身 & nikon 35mm F1.8S Z鏡,http://market.dcview.com/post/114151
Z6,1,59000,新北市,2019-03-23,nikon z6 單機身公司貨保固內極新 3顆原電,http://market.dcview.com/post/112209
Z6,1,62000,新北市,2019-03-22,Nikon Z6 單機身公司貨 2月底購入極新 快門500以內,http://market.dcview.com/post/112061
Z6,1,60000,台北市,2019-01-18,售Nikon D3X 公司貨、可換Nikon D850或Z7、Z6,http://market.dcview.com/post/102642
Z6,1,60000,台北市,2019-01-14,售Nikon D3X 公司貨、可換Nikon D850或Z7、Z6,http://market.dcview.com/post/102126
Z6,1,60000,台北市,2019-01-08,售Nikon D3X 公司貨、可換Nikon D850或Z7、Z6,http://market.dcview.com/post/101196
Z6,1,60000,台北市,2019-01-01,售Nikon D3X 公司貨、可換Nikon D850或Z7、Z6,http://market.dcview.com/post/100294
Z7,1,99000,台北市,2018-12-31,Nikon Z7,http://market.dcview.com/post/100138
Z6,1,60000,台北市,2018-12-27,售Nikon D3X 公司貨、可換Nikon D850或Z7、Z6,http://market.dcview.com/post/99781
Z6,1,60000,台北市,2018-12-24,售Nikon D3X 公司貨、可換Nikon D850或Z7、Z6,http://market.dcview.com/post/99339
