is_single_product,model,brand,shotcount,title,price,trade_type,status,region,date,user,link,success
True,Z70-180F2.8,Nikon,,Nikon Z 70-180 f2.8 公司貨,28000,sell,,桃園市,2026-01-07,aaronchen123,http://market.dcview.com/post/508886,True
True,AF-S DX Micro 85mm f/3.5G,Nikon,,Nikon AF-S DX Micro 85mm f/3.5G,15000,buy,,台南市,2026-01-07,chingan1728,http://market.dcview.com/post/508884,True
True,Z24-70F4,Nikon,,NIKON Z 24-70mm F4 S 公司貨/ (Z 24-70 mm F4)(Z24-70mm f4)(Z24-70 mm F4),12000,sell,,新北市,2026-01-07,smallshot,http://market.dcview.com/post/508882,True
True,Z6,Nikon,,NIKON Z6 機身 公司貨,20000,sell,,新北市,2026-01-07,smallshot,http://market.dcview.com/post/508881,True
True,Z5,Nikon,,【徵】Nikon ZF 低快門 公司貨,40000,buy,,台北市,2026-01-07,苦命社畜,http://market.dcview.com/post/508880,True
True,Z24-70F4,Nikon,,收 Nikon z 24-70 f4 s,11000,buy,,台北市,2026-01-07,aa292910,http://market.dcview.com/post/508879,True
True,Unknown,Unknown,,美月夢華坊｜東京出張｜大阪出張服務泡泡浴,35000,sell,,台北市,2026-01-07,tg525c89366,http://market.dcview.com/post/508877,True
True,Z 100-400mm F4.5-5.6 VR S,Nikon,,NIKKOR Z 100-400mm F4.5-5.6 VR S,60000,sell,,台北市,2026-01-07,惡使,http://market.dcview.com/post/508865,True
True,Z24-70F2.8,Nikon,,NIKON 24-70 F2.8G,13000,sell,,新竹縣,2026-01-07,lis250,http://market.dcview.com/post/508843,True
True,Z 35mm F1.8,Nikon,,NIKON Z 35mm F1.8 (公司貨) / Z 35 mm F1.8,16000,sell,,新北市,2026-01-07,smallshot,http://market.dcview.com/post/508834,True
True,Z6III,Nikon,,Nikon Z6III 機身 公司貨,47000,sell,,桃園市,2026-01-07,lowlence,http://market.dcview.com/post/508833,True
True,Z 24-70mm F4 S,Nikon,,8.Nikon Z 24-70mm F4 S (水貨) /,8000,sell,,新北市,2026-01-07,keyden,http://market.dcview.com/post/508828,True
True,14-24mm,Nikon,,NIKON 14-24 AF-S NIKKOR 14-24mm f/2.8G ED,16000,sell,,新竹市,2026-01-07,sallychan,http://market.dcview.com/post/508799,True
True,300mm F4 PF,Nikon,,Nikon 300mm F4 PF,28000,sell,,新北市,2026-01-07,LoveEase,http://market.dcview.com/post/508786,True
True,Zf,Nikon,,Nikon zf 保內 單機身,39000,sell,,嘉義市,2026-01-07,kzmh69,http://market.dcview.com/post/508785,True
True,500mm F8,Nikon,,Nikon Reflex-Nikkor 500mm F8 橘線版 反射鏡 定焦鏡 甜甜圈鏡頭,8000,sell,,台北市,2026-01-07,linhof888,http://market.dcview.com/post/508783,True
True,Z50F1.8,Nikon,,【小吳日常】50mm F4 酒紅鏡頭 For Nikon Z 卡口 微距鏡 高解像力 手動對焦,1199,sell,,桃園市,2026-01-07,小吳日常,http://market.dcview.com/post/508782,True
True,F,Nikon,,【小吳日常】黑胡桃木 餅乾鏡頭 For Nikon F 卡口 相機 底片感 即可拍 泛焦 街拍 含保固,990,sell,,桃園市,2026-01-07,小吳日常,http://market.dcview.com/post/508778,True
True,Z24-70F4,Nikon,,【小吳日常】黑胡桃木 餅乾鏡頭 For Nikon Z 卡口 相機 底片感 即可拍 泛焦 街拍 含保固,990,sell,,桃園市,2026-01-07,小吳日常,http://market.dcview.com/post/508777,True
True,Z24-200F4-6.3VR,Nikon,,1.Nikon Z 24-200mm F4-6.3 VR (公司貨),17500,sell,,新北市,2026-01-06,keyden,http://market.dcview.com/post/508734,True
True,Z105,Nikon,,Z105 MACRO 水貨盒裝,19000,sell,,新竹縣,2026-01-06,lis250,http://market.dcview.com/post/508709,True
False,"Z70-180, Z70-180",Nikon,,Z 70-180 Z70-180 公司貨,28000,sell,,新竹縣,2026-01-06,lis250,http://market.dcview.com/post/508708,True
False,"Z14-24 F2.8S, 95MM STC",Nikon,,Z14-24 F2.8S 過保公司+95MM STC,45000,sell,,新竹市,2026-01-06,lis250,http://market.dcview.com/post/508707,True
True,F14-24F2.8G,Nikon,,14-24 F2.8G 水貨盒裝,18000,sell,,新竹市,2026-01-06,lis250,http://market.dcview.com/post/508706,True
True,Z24-200,Unknown,,Z24-200 過保固公司,17000,sell,,新竹市,2026-01-06,lis250,http://market.dcview.com/post/508705,True
True,Z6II,Nikon,23000,Z6II 水貨盒裝 快門23XXX,30000,sell,,新竹市,2026-01-06,lis250,http://market.dcview.com/post/508704,True
True,Z7,Nikon,120000,Z7 公司快門12萬盒裝,30000,sell,,新竹市,2026-01-06,lis250,http://market.dcview.com/post/508703,True
True,20-35F2.8,Nikon,,NIKON 20-35 F2.8 鑽石廣角,12500,sell,,新竹市,2026-01-06,lis250,http://market.dcview.com/post/508702,True
True,Z9,Nikon,,NIKON Z9,82000,sell,,高雄市,2026-01-05,menqyow,http://market.dcview.com/post/508670,True
True,Z 50mm F1.2S,Nikon,,Nikon Z 50mm F1.2S 定焦鏡,35791,buy,sold,高雄市,2026-01-05,Dylan12121212,http://market.dcview.com/post/508669,True
True,Z 28-75 f2.8,Nikon,,Nikon Z 28-75 f2.8 平輸,18000,sell,,桃園市,2026-01-05,aaronchen123,http://market.dcview.com/post/508661,True
True,Z24-70F4,Nikon,,收 Nikon z 24-70 f4 s,9500,buy,,新竹縣,2026-01-05,hsc79,http://market.dcview.com/post/508651,True
True,TZM-02,天工,,【售】天工 自動環 TZM-02 近全新,7680,sell,sold,新北市,2026-01-05,阿佑Ayo,http://market.dcview.com/post/508610,True
True,"Zfc, Z28mm SE",Nikon,4000,Nikon ZFC + Z 28mm SE 銀色 公司貨 快門4xxx,25500,sell,,新北市,2026-01-05,Jason255,http://market.dcview.com/post/508608,True
True,D810,Nikon,1000,D810 水貨快門一千多,25000,sell,,新竹市,2026-01-05,lis250,http://market.dcview.com/post/508591,True
True,Z DX 24mm F1.7,Nikon,,Nikon Z DX 24mm F1.7 (公司貨),7500,sell,,台北市,2026-01-05,m11250,http://market.dcview.com/post/508581,True
True,AF-S 85mm f/1.8G,Nikon,,尼康 Nikon AF-S 85mm f/1.8G 大光圈定焦人像鏡頭,6900,sell,,彰化縣,2026-01-04,kincheer,http://market.dcview.com/post/508557,True
True,50 1.4 DG HSM,SIGMA,,售 SIGMA 50 1.4 DG HSM FOR NIKON,3500,sell,sold,新竹縣,2026-01-04,阿維AWEI,http://market.dcview.com/post/508555,True
False,Unknown,Unknown,,高價收購相機~高價收購鏡頭~就在優酷3C,0,buy,,台北市,2026-01-04,龔小咪,http://market.dcview.com/post/508548,True
True,35-150mm F2-2.8,Tamron,,Tamron 35-150mm F2-2.8 (A058)《Nikon Z接環》俊毅公司貨,43000,sell,,台南市,2026-01-04,index5999,http://market.dcview.com/post/508539,True
True,D4S,Nikon,,NIKON D4S,23000,sell,,台南市,2026-01-04,index5999,http://market.dcview.com/post/508538,True
True,Z5,Nikon,,Z5 非常新 可搭購FTZ1代,17500,sell,sold,新竹縣,2026-01-04,阿維AWEI,http://market.dcview.com/post/508523,True
True,"Micro-Nikkor 55mm F3.5, Z40",Nikon,,"NIKON MICRO-NIKKOR 55mm F3.5, HB-8, Z40金屬鏡尾",1500,sell,,台北市,2026-01-04,nick.peng,http://market.dcview.com/post/508518,True
True,85mm f1.8g,Nikon,,Nikon 85mm f1.8g,6000,sell,sold,台中市,2026-01-04,JACK小強,http://market.dcview.com/post/508508,True
True,Z 24-120mm f4 S,Nikon,,Nikon Z 24-120mm f4 S,25000,buy,,台南市,2026-01-04,HankKKuo,http://market.dcview.com/post/508502,True
True,Z26mmF2.8,Nikon,,徵Nikon z 26mm f2.8,10000,buy,,新北市,2026-01-04,Malchief,http://market.dcview.com/post/508497,True
True,Z24-70F2.8,Nikon,,Tokina 11-16mm F2.8 (IF) DXII for NIKON,3000,buy,,台南市,2026-01-04,JIJAN,http://market.dcview.com/post/508488,True
True,V1,Godox,,Godox神牛 V1 閃光燈 for nikon,3000,sell,,彰化縣,2026-01-04,Sito,http://market.dcview.com/post/508485,True
False,"Z6II, Z24-70F4",Nikon,,Nikon z6 KIT + FTZ + Nikkor Z 24-70mm f/4 S,33500,sell,,新北市,2026-01-03,楊Peter,http://market.dcview.com/post/508459,True
True,D750,Nikon,,d750,13000,sell,,新竹市,2026-01-03,lis250,http://market.dcview.com/post/508446,True
True,D810,Nikon,,d810 公司 快門2xxxx,22000,sell,,新竹市,2026-01-03,lis250,http://market.dcview.com/post/508445,True
True,20MM 1.8G,Nikon,,NIKON 20MM 1.8G,10000,sell,,新竹縣,2026-01-03,lis250,http://market.dcview.com/post/508441,True
True,20-35F2.8,Nikon,,NIKON 20-35 F2.8 鑽石廣角,12500,sell,,新竹市,2026-01-03,lis250,http://market.dcview.com/post/508440,True
True,Z70-200F2.8VR,Nikon,,NIKKOR Z 70-200mm F2.8 VR S,47000,sell,,新北市,2026-01-03,hua273,http://market.dcview.com/post/508400,True
True,Z6II,Nikon,,Nikon Z6ii Z6 2代 單機身 2電池,26500,sell,sold,桃園市,2026-01-03,shangjon,http://market.dcview.com/post/508398,True
False,"Z6II, 28-75",Nikon,,"Nikon Z6II, 28-75, FTZII 相機與配件出售，整套打包",55000,sell,,新竹縣,2026-01-03,naladiekat,http://market.dcview.com/post/508384,True
True,50mm F1.4 DG HSM Art,Nikon,,SIGMA 50mm F1.4 DG HSM Art版 Nikon專用,9300,sell,sold,彰化縣,2026-01-02,kincheer,http://market.dcview.com/post/508365,True
True,10mm f2.8,Nikon,,NIKON 10mm f2.8,1500,buy,sold,桃園市,2026-01-02,拉過來,http://market.dcview.com/post/508359,True
False,Unknown,Unknown,,高價收購相機~高價收購鏡頭~就在優酷3C,0,buy,,台北市,2026-01-02,龔小咪,http://market.dcview.com/post/508358,True
True,P1100,Nikon,,NIKON P1100 公司貨,24000,sell,,台南市,2026-01-02,健熊ERIC,http://market.dcview.com/post/508352,True
True,Z 40mm F2,Nikon,,Nikon NIKKOR Z 40mm F2 大光圈定焦鏡 公司貨,6800,sell,,桃園市,2026-01-02,我是雷,http://market.dcview.com/post/508333,True
True,24mm F1.4 DG DN | Art,SIGMA,,【出售】: SIGMA 24mm F1.4 DG DN | Art for Nikon F mount,10000,sell,sold,基隆市,2026-01-02,Abony,http://market.dcview.com/post/508316,True
True,Z24-70F4,Nikon,,nikon z 24-70 f4 s,10500,sell,sold,新北市,2026-01-02,lot286,http://market.dcview.com/post/508315,True
True,Z6,Nikon,,Nikon Z6,18000,buy,,台中市,2026-01-02,Leupold,http://market.dcview.com/post/508308,True
False,"D7000, S17-50 2.8",Nikon,,NIKON D7000、T116、S17-50 2.8、N351.8,14000,sell,,嘉義縣,2026-01-02,DC見習生,http://market.dcview.com/post/508298,True
False,"50mm F4E, 50mm f1.4 ART",Nikon,,500 F4E、小黑7、50 1.4ART,198000,sell,,高雄市,2026-01-02,xar,http://market.dcview.com/post/508294,True
True,Z5 II,Nikon,,Nikon Z5 II Z52 公司貨,40000,buy,,台北市,2026-01-01,ione123333,http://market.dcview.com/post/508288,True
True,Z DX 16-50mm f2.8 VR,Nikon,,Nikon Z DX 16-50mm f2.8 VR 防手震 新品,25000,sell,,桃園市,2026-01-01,shangjon,http://market.dcview.com/post/508285,True
True,Z 35mm F1.2S,Nikon,,Nikon Z 35mm F1.2S,75000,sell,,台北市,2026-01-01,惡使,http://market.dcview.com/post/508280,True
True,Z 135mm F1.8S,Nikon,,Nikon Z plena 135mm F1.8S,70000,sell,,台北市,2026-01-01,惡使,http://market.dcview.com/post/508279,True
True,Z 85mm F1.2S,Nikon,,Nikon Z 85mm F1.2S,60000,sell,,台北市,2026-01-01,惡使,http://market.dcview.com/post/508278,True
True,"D5600, 18-55mm",Nikon,,Nikon D5600 AF-P 18-55mm f/3.5-5.6G VR KIT鏡頭組,10000,sell,,新北市,2026-01-01,sunflower126,http://market.dcview.com/post/508273,True
False,Unknown,Unknown,,【手工改鏡】即可拍鏡頭 For Nikon 1 卡口 適用 J系列 V系列 S系列 相機 餅乾鏡 底片感 街拍 含保固,429,sell,,桃園市,2026-01-01,小吳日常,http://market.dcview.com/post/508248,True
False,"Z50, DZ 16-50mm",Nikon,,Nikon Z50 + DZ 16-50mm KIT 平輸,16200,sell,,新北市,2026-01-01,Jason255,http://market.dcview.com/post/508238,True
True,70-300mm VR,Nikon,,Nikon AF-P DX 70-300mm VR,4000,buy,,新北市,2026-01-01,chen_calvin,http://market.dcview.com/post/508231,True
True,Z24-70F2.8,Nikon,,Nikon z24~70 2.8s 一代,30000,buy,,新北市,2026-01-01,轉角市集,http://market.dcview.com/post/508213,True
True,Z28-400,Nikon,,售z28-400 平輸過保 品項良好,30000,sell,,高雄市,2026-01-01,老賣年糕,http://market.dcview.com/post/508211,True
False,Unknown,Nikon,,【手工改鏡】即可拍鏡頭 For Nikon Z 卡口 相機 餅乾鏡 底片感 街拍 含保固,599,sell,,桃園市,2025-12-31,小吳日常,http://market.dcview.com/post/508193,True
True,Z5,Nikon,,Nikon Z5 單機身 平輸,19800,sell,sold,新北市,2025-12-31,Jason255,http://market.dcview.com/post/508187,True
False,"50mm F1.4, 24-70mm F4, 500mm F4, 16-35mm F4, 50mm 1.4",Nikon,,500 F4 / 小黑7 / 2470 1代 / 1635 F4 / 50 1.4art,223500,sell,sold,高雄市,2025-12-30,xar,http://market.dcview.com/post/508150,True
True,D850,Nikon,,D850,31000,sell,sold,高雄市,2025-12-30,xar,http://market.dcview.com/post/508147,True
False,Unknown,Unknown,,高價收購相機~高價收購鏡頭~就在優酷3C,0,buy,,台北市,2025-12-30,龔小咪,http://market.dcview.com/post/508138,True
True,40mm F1.2,Voigtlander,,Voigtlander NOKTON 40mm F1.2 for the Nikon Z,20000,sell,,台北市,2025-12-30,小兔子快快跑,http://market.dcview.com/post/508137,True
True,"Z50ii, 16-50",Nikon,,Z50ii+16-50kit鏡組,26000,sell,,台中市,2025-12-30,Xuan821,http://market.dcview.com/post/508135,True
True,F,Nikon,,【手工改鏡】即可拍鏡頭 For Nikon F 卡口 相機 餅乾鏡 底片感 街拍 含保固,429,sell,,桃園市,2025-12-30,小吳日常,http://market.dcview.com/post/508110,True
True,Z DX 12-28mm PZ,Nikon,,Nikon Z DX 12-28mm F3.5-5.6 PZ 公司貨 保固內,7800,sell,,新北市,2025-12-30,Jason255,http://market.dcview.com/post/508108,True
True,Z50F1.8,Nikon,,【小吳日常】50mm F4 酒紅鏡頭 For Nikon Z 卡口 微距鏡 高解像力 手動對焦,1199,sell,sold,桃園市,2025-12-30,小吳日常,http://market.dcview.com/post/508107,True
True,Zfc,Nikon,2000,Nikon ZFC + DX 1650mm 銀色 公司貨 快門2xxx,23000,sell,,新北市,2025-12-30,Jason255,http://market.dcview.com/post/508104,True
True,50mm F1.2,TTartisan,,TTartisan 50mm F1.2 for Nikon Z,2000,sell,,新北市,2025-12-30,Jason255,http://market.dcview.com/post/508102,True
False,Z63,Nikon,,"Nikon Z63, 50mm F1.4, CF card, E2Z轉接環",50000,sell,,台南市,2025-12-30,新加入的同學,http://market.dcview.com/post/508089,True
True,Z9,Nikon,,NIKON Z9 公司貨保固內,98000,sell,,苗栗縣,2025-12-30,377,http://market.dcview.com/post/508085,True
True,Z DX 16-50mm,Nikon,,NIKKOR Z DX 16-50mm f/3.5-6.3 VR,3000,sell,,高雄市,2025-12-30,hikari0120,http://market.dcview.com/post/508070,True
True,Z DX 16-50mm,Nikon,,NIKKOR Z DX 16-50mm f/3.5-6.3 VR,3000,sell,,台南市,2025-12-30,hikari0120,http://market.dcview.com/post/508069,True
